‘ Well, it's a recognised symptom of the condition that an attack can come out of the blue.	‘ Well, it's a recognised symptom of the condition that an attack can come without warning.	1.0
If I were Russia, that's what I'd do, just to keep up appearances I mean, you can't let the word start to get about.	If I were Russia, that's what I'd do, just to pretend that everything be going well I mean, you can't let the word start to get about.	1.0
Kiss of death to life - saving?	something that may seem good but actually bring ruin to hopes and plans to life - saving?	1.0
’ Well, here's to a new life rising from the ashes of the old, eh?’	’ Well, here's to a new life making a comeback after a disaster that almost led to a tragic end of the old, eh?’	1.0
Lonrho's ethics have been publicly queried in the past, so many in Whitehall are galled to see it cast on the side of the angels by its opposition to the Al Fayeds, after they had thwarted Lonrho's own designs on Harrods.	Lonrho's ethics have been publicly queried in the past, so many in Whitehall are galled to see it cast fighting for that which is good by its opposition to the Al Fayeds, after they had thwarted Lonrho's own designs on Harrods.	1.0
Such are the weaknesses of human nature that initial enthusiasm sometimes overcomes care and prudence in a desire to get the show on the road.	Such are the weaknesses of human nature that initial enthusiasm sometimes overcomes care and prudence in a desire to get going.	1.0
Such are the weaknesses of human nature that initial enthusiasm sometimes overcomes care and prudence in a desire to get the show on the road.	Such are the weaknesses of human nature that initial enthusiasm sometimes overcomes care and prudence in a desire to begin.	1.0
er s er but those occupations that worked shift and had to go round the clock had to have eight hour shifts, three shifts.	er s er but those occupations that worked shift and had to go nonstop had to have eight hour shifts, three shifts.	1.0
And sure enough they do panic and run amok, and ‘ the almost mystical terror which suddenly took hold of our authorities’ completes the ruinous and negative side of the Gadarene story.	And sure enough they do panic and go on a rampage, and ‘ the almost mystical terror which suddenly took hold of our authorities’ completes the ruinous and negative side of the Gadarene story.	1.0
If the before I come to go past it he would cut back in and and climb across even if if the next car then back in again you're just going, you start out of line	If the before I come to go past it he would cut back in and and climb across even if if the next car then back in again you're just going, you start disproportionately	0.743553144923399
Mrs Khalid had a soft expression and lively eyes but a never - say - die - ishness that quite reminded Ellen of Rhoda.	Mrs Khalid had a soft expression and lively eyes but a do not despair - ishness that quite reminded Ellen of Rhoda.	1.0
To her dismay, as she pushed open the door of the treatment - room the first person she set eyes on was David Markham.	To her dismay, as she pushed open the door of the treatment - room the first person she see was David Markham.	1.0
Organophosphate should remain in the dock until it is proven innocent.’	Organophosphate should remain under scrutiny until it is proven innocent.’	0.7718487595799938
Organophosphate should remain in the dock until it is proven innocent.’	Organophosphate should remain under close scrutiny until it is proven innocent.’	0.7718487595799938
True to form, the Valvestate S80 is more than happy to oblige and at low volume the Boost channel switched to OD2 handles everything thrown at it.	according to their nature, the Valvestate S80 is more than happy to oblige and at low volume the Boost channel switched to OD2 handles everything thrown at it.	1.0
On the spur of the moment, Mungo decided to use shock tactics.	on short notice, Mungo decided to use shock tactics.	1.0
BEFORE giving a precis of events, people often say: ‘ To put it in a nutshell.’	BEFORE giving a precis of events, people often say: ‘ To put it briefly stated	1.0
BEFORE giving a precis of events, people often say: ‘ To put it in a nutshell.’	BEFORE giving a precis of events, people often say: ‘ To put it in summary	1.0
One child can be given the label of being the naughty one which lets the other children in the family off the hook.	One child can be given the label of being the naughty one which lets the other children in the family relieved of a duty.	1.0
And then the car caught fire	And then the car became engulfed in flames	1.0
Having said that, everything was done above board.	Having said that, everything was done open and straightforward.	1.0
Delicately readjusting her knicker elastic, May reveals that she'll be out and about, meeting the people, sharing a bit of crack and banter with her adoring public.	Delicately readjusting her knicker elastic, May reveals that she'll be traveling around, meeting the people, sharing a bit of crack and banter with her adoring public.	1.0
Delicately readjusting her knicker elastic, May reveals that she'll be out and about, meeting the people, sharing a bit of crack and banter with her adoring public.	Delicately readjusting her knicker elastic, May reveals that she'll be moving around, meeting the people, sharing a bit of crack and banter with her adoring public.	1.0
Delicately readjusting her knicker elastic, May reveals that she'll be out and about, meeting the people, sharing a bit of crack and banter with her adoring public.	Delicately readjusting her knicker elastic, May reveals that she'll be traveling around, meeting the people, sharing a bit of crack and banter with her adoring public.	1.0
The most simple and straightforward situation is where land is already registered, and in nine times out of ten, a simple pro forma transfer deed can be used to effect the transfer of the interest, whether it be freehold or leasehold.	The most simple and straightforward situation is where land is already registered, and in mostly, a simple pro forma transfer deed can be used to effect the transfer of the interest, whether it be freehold or leasehold.	1.0
Careful manipulation of the mid - boost even provided some pretty creditable electro - acoustic sounds, which speaks volumes for the versatility of the instrument and its circuitry.	Careful manipulation of the mid - boost even provided some pretty creditable electro - acoustic sounds, which provides substantial information for the versatility of the instrument and its circuitry.	1.0
Apparently the sale of one coffin, retail, was out of the question; they supplied only the trade.	Apparently the sale of one coffin, retail, was not remotely possible; they supplied only the trade.	1.0
A grateful Hankin said: ‘ We have a mountain to climb, but I am looking forward to the challenge.’	A grateful Hankin said: ‘ We face a difficult task, but I am looking forward to the challenge.’	1.0
It is not difficult to put two and two together.	It is not difficult to figure things out.	0.6448554546272075
Princess ~ Rym ~ Ali, sister - in - law of Queen ~ Rania – the Chanel - wearing media star who is rebranding a more contemporary Jordan – is one vivid example; Princess ~ Rym is making immense progress in a more behind - the - scenes way.	Princess ~ Rym ~ Ali, sister - in - law of Queen ~ Rania – the Chanel - wearing media star who is rebranding a more contemporary Jordan – is one vivid example; Princess ~ Rym is making immense progress in a more secretly way.	1.0
Princess ~ Rym ~ Ali, sister - in - law of Queen ~ Rania – the Chanel - wearing media star who is rebranding a more contemporary Jordan – is one vivid example; Princess ~ Rym is making immense progress in a more behind - the - scenes way.	Princess ~ Rym ~ Ali, sister - in - law of Queen ~ Rania – the Chanel - wearing media star who is rebranding a more contemporary Jordan – is one vivid example; Princess ~ Rym is making immense progress in a more secretly way.	1.0
Princess ~ Rym ~ Ali, sister - in - law of Queen ~ Rania – the Chanel - wearing media star who is rebranding a more contemporary Jordan – is one vivid example; Princess ~ Rym is making immense progress in a more behind - the - scenes way.	Princess ~ Rym ~ Ali, sister - in - law of Queen ~ Rania – the Chanel - wearing media star who is rebranding a more contemporary Jordan – is one vivid example; Princess ~ Rym is making immense progress in a more behind the scenery and stage area way.	1.0
ON THE RUN TO FREE AN INNOCENT MAN IN JAIL	fleeing TO FREE AN INNOCENT MAN IN JAIL	0.7457926326938921
You can acquire some most unusual species for a song at village jumble sales, country fetes, and street markets.	You can acquire some most unusual species very cheaply at village jumble sales, country fetes, and street markets.	0.7396929514214823
So I mostly chose Uncle Bill because I thought the world of him, but I was cunning enough to go to Uncle Geordie's about every fourth week.	So I mostly chose Uncle Bill because I had a strong affection for him, but I was cunning enough to go to Uncle Geordie's about every fourth week.	1.0
So I mostly chose Uncle Bill because I thought the world of him, but I was cunning enough to go to Uncle Geordie's about every fourth week.	So I mostly chose Uncle Bill because I had a very high opinion of him, but I was cunning enough to go to Uncle Geordie's about every fourth week.	1.0
Early PC - based software was both expensive and fairly awful; Studio Software, who produced the first desktop publishing program for the PC recently went to the wall as a direct result of being unable to keep up with the new leaders.	Early PC - based software was both expensive and fairly awful; Studio Software, who produced the first desktop publishing program for the PC recently fail as a direct result of being unable to keep up with the new leaders.	1.0
The temptation of the mediator is to be lazy, and this is where the mediator and Jesus part company.	The temptation of the mediator is to be lazy, and this is where the mediator and Jesus go separate ways.	0.7655918540517607
"Class of Year Three children The "" Keeper "" is a guard who has been blinded to stop him ever setting eyes on the magic jewels."	"Class of Year Three children The "" Keeper "" is a guard who has been blinded to stop him ever see the magic jewels."	0.6575342465753424
( When you later discuss the problem face - to - face, you might be amazed at the telepathic impact of this meditation . )	( When you later discuss the problem in person, you might be amazed at the telepathic impact of this meditation . )	1.0
HAS California's economy finally turned the corner?	HAS California's economy finally passed out of danger?	1.0
‘ Yeah, and that E chord should really be on the bridge pickup, but I could never get it and every once in a while I'd be thinking, ‘ I'm gonna try it …	‘ Yeah, and that E chord should really be on the bridge pickup, but I could never get it and every sometimes I'd be thinking, ‘ I'm gonna try it …	1.0
‘ Yeah, and that E chord should really be on the bridge pickup, but I could never get it and every once in a while I'd be thinking, ‘ I'm gonna try it …	‘ Yeah, and that E chord should really be on the bridge pickup, but I could never get it and every occasionally I'd be thinking, ‘ I'm gonna try it …	1.0
She had to get a grip on herself.	She had to be reasonable on herself.	1.0
I had hoped to get another 50,000 miles out of my car, but it gave up the ghost on the expressway and it would cost too much to fix it.	I had hoped to get another 50,000 miles out of my car, but it died on the expressway and it would cost too much to fix it.	1.0
I had hoped to get another 50,000 miles out of my car, but it gave up the ghost on the expressway and it would cost too much to fix it.	I had hoped to get another 50,000 miles out of my car, but it died on the expressway and it would cost too much to fix it.	1.0
‘ There you go again, jumping to conclusions.	‘ There you go again, making conclusions before being presented with all the evidence.	1.0
In the event the starting line - up went down to the wire.	In the event the starting line - up went to the very end of the process.	1.0
Does that strike a chord Michael?	Does that elicit a significant reaction Michael?	1.0
If our much smaller, and much more numerous local museums are also to come in from the cold, the only route open to them is the one of providing a stimulating and memorable learning experience.	If our much smaller, and much more numerous local museums are also to gain widespread acceptance in a group, the only route open to them is the one of providing a stimulating and memorable learning experience.	1.0
In Damage, from Josephine Hart's novel, he gets more or less everything wrong from the word go.	In Damage, from Josephine Hart's novel, he gets more or less everything wrong from the outset.	1.0
In Damage, from Josephine Hart's novel, he gets more or less everything wrong from the word go.	In Damage, from Josephine Hart's novel, he gets more or less everything wrong immediately upon starting.	1.0
I should've arranged it, now that I come to think of it.	I should've arranged it, now that I on reflection.	1.0
Sometimes they sound feminine, as in ‘ Myrtifolia Aurea’, but don't jump to conclusions because this particular cultivar is male.	Sometimes they sound feminine, as in ‘ Myrtifolia Aurea’, but don't make conclusions before being presented with all the evidence because this particular cultivar is male.	1.0
Dallams were ten a penny in the backstreets of Frizingley.	Dallams were commonly seen in the backstreets of Frizingley.	1.0
Who pays the piper …	Who bears the consequences of an action …	1.0
There are things I specially like about living here, never you mind what they are, they're just things I like.	There are things I specially like about living here, mind your own business what they are, they're just things I like.	1.0
She'd been convinced all along that eventually she must lose him, that Marianne was right — some other attraction must inevitably draw him away.	She'd been convinced for the entire time that eventually she must lose him, that Marianne was right — some other attraction must inevitably draw him away.	1.0
Before he returned home, another economist with experience of foreign practices, V. A. Tatarinov, set in train the changes which came to a head in 1862.	Before he returned home, another economist with experience of foreign practices, V. A. Tatarinov, set in train the changes which reached a turning point in 1862.	1.0
She always had an eye for a bargain and was very astute in her shopping.	She always easily discern a bargain and was very astute in her shopping.	1.0
It is helpful to discuss it with the main witnesses, first off; brings it alive, if you know what I mean.’	It is helpful to discuss it with the main witnesses, before anything else; brings it alive, if you know what I mean.’	1.0
Hooligans go through the motions of violence but relatively little damage is done either to property or to the person.	Hooligans do things in a perfunctory way of violence but relatively little damage is done either to property or to the person.	1.0
As it is inevitably the biggest, toughest Orcs that become more important it goes without saying that it is the big Orcs who get bigger!	As it is inevitably the biggest, toughest Orcs that become more important it is obvious that it is the big Orcs who get bigger!	1.0
FATHER and son racing team of Roger and Mark Hoad got the green light from the Jockey Club at an all day inquiry yesterday, writes Charles Fawcus.	FATHER and son racing team of Roger and Mark Hoad got the permission from the Jockey Club at an all day inquiry yesterday, writes Charles Fawcus.	0.7347537212996998
‘ I wanted her the minute I set eyes on her.’	‘ I wanted her the minute I see her.’	1.0
But Sotheby's eventually won the day, causing an annoyed Christie's to tip off The New York Times before Sotheby's could proudly announce their coup.	But Sotheby's eventually gain complete victory, causing an annoyed Christie's to tip off The New York Times before Sotheby's could proudly announce their coup.	1.0
Killed him in cold blood.	Killed him in a ruthless manner.	1.0
Certainly the opening up of knowledge about finance does enable all heads of faculty to have an organisation - wide view rather than bidding behind closed doors.	Certainly the opening up of knowledge about finance does enable all heads of faculty to have an organisation - wide view rather than bidding in private.	1.0
Certainly the opening up of knowledge about finance does enable all heads of faculty to have an organisation - wide view rather than bidding behind closed doors.	Certainly the opening up of knowledge about finance does enable all heads of faculty to have an organisation - wide view rather than bidding secretly.	1.0
""" Oh, it's still raining much too hard for that, "" said Cowslip, as though there could be no two ways about it."	""" Oh, it's still raining much too hard for that, "" said Cowslip, as though there could be no other possible choice."	1.0
Err on the side of being helpful — volunteer help, don't wait to be asked.	behave in a manner which favours being helpful — volunteer help, don't wait to be asked.	1.0
Most people think that local government is still run by ill - mannered bureaucrats who would not survive a minute in the rough and tumble of commerce.	Most people think that local government is still run by ill - mannered bureaucrats who would not survive a minute in the rough activity of commerce.	1.0
Start wearing your badges yes, yes, keep up appearances.	Start wearing your badges yes, yes, pretend that everything be going well.	1.0
At this signal the master tape is run up to speed, an okay then being passed back to the Director by the Technical Manager.	At this signal the master tape is run fully informed, an okay then being passed back to the Director by the Technical Manager.	0.5409272370131185
At this signal the master tape is run up to speed, an okay then being passed back to the Director by the Technical Manager.	At this signal the master tape is run fully informed, an okay then being passed back to the Director by the Technical Manager.	0.5409272370131185
Nastase had sublime skills but was careering around without much discipline and direction … a powderkeg temperament … an adorable, off - the - wall rogue.	Nastase had sublime skills but was careering around without much discipline and direction … a powderkeg temperament … an adorable, wildly unconventional rogue.	1.0
He was speaking slowly and carefully, as if he wondered after all whether her English was up to scratch.	He was speaking slowly and carefully, as if he wondered after all whether her English was satisfactory.	1.0
This is the first time UEFA has banned a Dutch club, but two years ago the national team were ordered to replay a European Championship qualifying match behind closed doors after Cyprus's goalkeeper had been struck by a firework.	This is the first time UEFA has banned a Dutch club, but two years ago the national team were ordered to replay a European Championship qualifying match in private after Cyprus's goalkeeper had been struck by a firework.	1.0
This is the first time UEFA has banned a Dutch club, but two years ago the national team were ordered to replay a European Championship qualifying match behind closed doors after Cyprus's goalkeeper had been struck by a firework.	This is the first time UEFA has banned a Dutch club, but two years ago the national team were ordered to replay a European Championship qualifying match secretly after Cyprus's goalkeeper had been struck by a firework.	1.0
Many are sleeping rough, some are even offering sexual services in return for the next fix.	Many are sleep outdoors, some are even offering sexual services in return for the next fix.	1.0
Many are sleeping rough, some are even offering sexual services in return for the next fix.	Many are sleep outdoors, some are even offering sexual services in return for the next fix.	1.0
Many are sleeping rough, some are even offering sexual services in return for the next fix.	Many are being homeless, some are even offering sexual services in return for the next fix.	1.0
A 68 put Ballesteros safely through to the last two days but a distressed Olazabal, despite a 69, faced an anxious wait to see if he would make the cut.	A 68 put Ballesteros safely through to the last two days but a distressed Olazabal, despite a 69, faced an anxious wait to see if he would succeed out of a group of candidates.	1.0
‘ So I jumped to conclusions.	‘ So I maked conclusions before being presented with all the evidence.	1.0
Warhurst said: ‘ Ray rang me right out of the blue at 5 pm on Thursday afternoon to say the deal was back on again and would I come to Blackburn.	Warhurst said: ‘ Ray rang me right without warning at 5 pm on Thursday afternoon to say the deal was back on again and would I come to Blackburn.	1.0
Warhurst said: ‘ Ray rang me right out of the blue at 5 pm on Thursday afternoon to say the deal was back on again and would I come to Blackburn.	Warhurst said: ‘ Ray rang me right unexpectedly at 5 pm on Thursday afternoon to say the deal was back on again and would I come to Blackburn.	1.0
And, Par for the Course …	And, expected …	0.5070754716981133
It was, or it has been, a believe that the N H S was for all of us from the cradle to the grave.	It was, or it has been, a believe that the N H S was for all of us spanning an entire lifetime.	1.0
( Vocal communication is out of the question till after the third cup of coffee . )	( Vocal communication is not remotely possible till after the third cup of coffee . )	1.0
A man has walked free from court after admitting handling money from an armed raid on a post office.	A man has went unpunished from court after admitting handling money from an armed raid on a post office.	1.0
A man has walked free from court after admitting handling money from an armed raid on a post office.	A man has went unpunished from court after admitting handling money from an armed raid on a post office.	1.0
I might cock a snook at him behind his back but I wouldn't dash into his path making the victory sign.’	I might perform a gesture of disrespect at him behind his back but I wouldn't dash into his path making the victory sign.’	1.0
‘ It goes without saying that it will be a very difficult job but much in the manner of playing any away international.’	‘ It is obvious that it will be a very difficult job but much in the manner of playing any away international.’	1.0
For the rest, if it does blow up into an open accusation, he'll have to come clean.	For the rest, if it does blow up into an open accusation, he'll have to be completely honest.	1.0
For the rest, if it does blow up into an open accusation, he'll have to come clean.	For the rest, if it does blow up into an open accusation, he'll have to admit the truth.	1.0
Perhaps Coun Thorne - Wallis should get out and about with the pushchair a little more.	Perhaps Coun Thorne - Wallis should get traveling around with the pushchair a little more.	1.0
Perhaps Coun Thorne - Wallis should get out and about with the pushchair a little more.	Perhaps Coun Thorne - Wallis should get moving around with the pushchair a little more.	1.0
Perhaps Coun Thorne - Wallis should get out and about with the pushchair a little more.	Perhaps Coun Thorne - Wallis should get traveling around with the pushchair a little more.	1.0
Not everything agreed on paper will be respected and accomplished.	Not everything agreed in theory will be respected and accomplished.	1.0
On the face of it, in asserting that Ruritania does not exist we seem to be asserting something about Ruritania.	at first glance, in asserting that Ruritania does not exist we seem to be asserting something about Ruritania.	0.7557158296823735
On the face of it, in asserting that Ruritania does not exist we seem to be asserting something about Ruritania.	at first glance, in asserting that Ruritania does not exist we seem to be asserting something about Ruritania.	0.7557158296823735
And — this idea really takes the biscuit — the cute TV puppy impersonation; you know the one — grab the end of a full toilet roll and run off with it, laughing, Mum in hot pursuit!	And — this idea really is particularly egregious — the cute TV puppy impersonation; you know the one — grab the end of a full toilet roll and run off with it, laughing, Mum in hot pursuit!	1.0
I was sprinting full tilt across the playground, with the ‘ bad boy’ of the year hot on my heels, as it was ‘ boys after girls’.	I was sprinting full speed across the playground, with the ‘ bad boy’ of the year hot on my heels, as it was ‘ boys after girls’.	1.0
In the working class, though the stigma might be less, the difficulties were even greater and divorce was quite out of the question for most.	In the working class, though the stigma might be less, the difficulties were even greater and divorce was quite not remotely possible for most.	1.0
Embryo transfer is potentially the safest way of introducing new blood - lines, though even this is not entirely safe; the outside of a goat embryo resembles a rolled up hedgehog and cannot be washed clean!	Embryo transfer is potentially the safest way of introducing people newly brought in to a project - lines, though even this is not entirely safe; the outside of a goat embryo resembles a rolled up hedgehog and cannot be washed clean!	1.0
Embryo transfer is potentially the safest way of introducing new blood - lines, though even this is not entirely safe; the outside of a goat embryo resembles a rolled up hedgehog and cannot be washed clean!	Embryo transfer is potentially the safest way of introducing new members - lines, though even this is not entirely safe; the outside of a goat embryo resembles a rolled up hedgehog and cannot be washed clean!	1.0
They felt sure that at the moment of truth in the polling booth most voters will consider their wallets.	They felt sure that at the time when a test determines whether things will succeed in the polling booth most voters will consider their wallets.	1.0
This tit for tat procedure helps to develop awareness of angles of attack.	This equivalent retribution procedure helps to develop awareness of angles of attack.	1.0
This tit for tat procedure helps to develop awareness of angles of attack.	This equivalent retribution procedure helps to develop awareness of angles of attack.	1.0
We would continue to recommend transparency as a useful index in renal clinics, but think that in the light of our findings it is less useful as a screening test in antenatal clinics.	We would continue to recommend transparency as a useful index in renal clinics, but think that in consideration of our findings it is less useful as a screening test in antenatal clinics.	1.0
A sales tax would prompt border - hopping, tolerable in America but not in tiny Britain, and would fly in the face of EC moves towards greater harmonisation of indirect taxes.	A sales tax would prompt border - hopping, tolerable in America but not in tiny Britain, and would act in a manner highly contrary to EC moves towards greater harmonisation of indirect taxes.	1.0
A sales tax would prompt border - hopping, tolerable in America but not in tiny Britain, and would fly in the face of EC moves towards greater harmonisation of indirect taxes.	A sales tax would prompt border - hopping, tolerable in America but not in tiny Britain, and would contradict EC moves towards greater harmonisation of indirect taxes.	1.0
You may even throw caution to the wind and try one of our Mystery Trips.	You may even do things despite the risks and try one of our Mystery Trips.	1.0
She lay sleepless for so long — trying to get a grip on the situation, convincing herself that one kiss, one evening that held all the trimmings of romance had no real value — that she awoke late.	She lay sleepless for so long — trying to be reasonable on the situation, convincing herself that one kiss, one evening that held all the trimmings of romance had no real value — that she awoke late.	1.0
Roget's Thesaurus I threw the book at	Roget's Thesaurus I applyed the harshest possible punishment to	1.0
PLAYER: Let your imagination run riot.	PLAYER: Let your imagination act in a violent way.	1.0
And don't forget, even though I'll be thousands of miles away, I'll be keeping tabs on you.’	And don't forget, even though I'll be thousands of miles away, I'll be watching you.’	1.0
By the end of the evening both she and Reggie had given us their seal of approval.	By the end of the evening both she and Reggie had given us their sanction.	1.0
Your not gonna tempt fate?	Your not gonna take an extreme risk?	1.0
Some feel they are unable to cope and the child is taken into care with a view to fostering.	Some feel they are unable to cope and the child is taken into care with the intention to fostering.	0.7278864551466143
Nicol, who escaped with a close call when he sliced an attempted clearance close to his own goal in normal time, suffered a costly relapse 10 minutes into the extra period.	Nicol, who escaped with a situation in which an undesirable outcome is narrowly avoided when he sliced an attempted clearance close to his own goal in normal time, suffered a costly relapse 10 minutes into the extra period.	1.0
Such a view helped trade union leaders to think in terms of coming to some type of arrangement with industrialists who were feeling the pinch of economic policy.	Such a view helped trade union leaders to think in terms of coming to some type of arrangement with industrialists who were suffering a hardship of economic policy.	1.0
It's bad enough that Timothy's mooning over her like a schoolboy, wet behind the ears.	It's bad enough that Timothy's mooning over her like a schoolboy, inexperienced.	1.0
Did He not turn the righteous wrath of the crowd back upon themselves and ask those among them who were without sin, to cast the first stone?	Did He not turn the righteous wrath of the crowd back upon themselves and ask those among them who were without sin, to act self-righteously in accusing another person?	1.0
Don't let him walk all over you!’	Don't let him dominate you!’	1.0
‘ Oh, there was nothing to it, really,’ she said, secretly pleased that she could do something her uncle couldn't.	‘ Oh, there was nothing difficult about it, really,’ she said, secretly pleased that she could do something her uncle couldn't.	1.0
Palatine is going from strength to strength as an independent.	Palatine is getting stronger as an independent.	1.0
By dint of a couple of birdies and a fortunate eagle on the long fourteenth hole, Jack was looking good for a share of the prize money.	by the force of a couple of birdies and a fortunate eagle on the long fourteenth hole, Jack was looking good for a share of the prize money.	1.0
However it is difficult to see how, having once admitted determinations into his system, Aquinas can hold the line against such Kelsenian conclusions.	However it is difficult to see how, having once admitted determinations into his system, Aquinas can firmly maintain the situation against such Kelsenian conclusions.	1.0
He died at the hands of cowards who hide behind masks and get away with murder.	He died at the hands of cowards who hide behind masks and do bad things and not be punished.	1.0
Sue Shaw charts the apple's spectacular fall from grace.	Sue Shaw charts the apple's spectacular lose social position.	1.0
Tipping the scales at just over 3.5lbs this metal cased keyboard seemed to be a solid prospect.	changing the fortunes at just over 3.5lbs this metal cased keyboard seemed to be a solid prospect.	1.0
Prime Minister Muhammad Nawaz Sharif, while holding a reception in the team's honour at Islamabad, urged the entire nation to follow the disciplined dedication of the cricketers in all walks of life.	Prime Minister Muhammad Nawaz Sharif, while holding a reception in the team's honour at Islamabad, urged the entire nation to follow the disciplined dedication of the cricketers in all occuption, role, social class, or lifestyle.	1.0
Said Mr Costain: ‘ We would have liked to build a replacement with a wooden verandah and steps, but it can't be done in this day and age, so we had to build a concrete one like Fort Knox.’	Said Mr Costain: ‘ We would have liked to build a replacement with a wooden verandah and steps, but it can't be done in the current era of history, so we had to build a concrete one like Fort Knox.’	1.0
They went back upstairs and he talked dirty to Eleanor.	They went back upstairs and he used profane language for the purpose of arousal to Eleanor.	1.0
It was a couple of weeks before and I was left high and dry without a partner.	It was a couple of weeks before and I was left abandoned without a partner.	1.0
A reparto, the division of the great estates among the agrarian poor, was the recurring demand of the endemic jacqueries of Andalusia as a once and for all cure for chronic underemployment.	A reparto, the division of the great estates among the agrarian poor, was the recurring demand of the endemic jacqueries of Andalusia as a conclusively cure for chronic underemployment.	1.0
I took a couple of pictures anyway, not knowing what possible good they would do, then kicked the Shogun in the driver's door just for the hell of it.	I took a couple of pictures anyway, not knowing what possible good they would do, then kicked the Shogun in the driver's door just for no particular reason.	0.8266974410594359
I'd never made head or tail of it myself.	I'd never even minimally understand it myself.	1.0
She's been missing for a week, was going to marry a rising Minister, successful career, everything coming up roses.	She's been missing for a week, was going to marry a rising Minister, successful career, everything developing in a pleasing manner.	1.0
She emptied in half the tin and threw in a lighted match for good measure.	She emptied in half the tin and threw in a lighted match in addition to what has already been done.	1.0
She emptied in half the tin and threw in a lighted match for good measure.	She emptied in half the tin and threw in a lighted match in addition to what has already been done.	1.0
The harder they are blown the more will the horns and tuba part company, until in ff there is an almost complete lack of blend.	The harder they are blown the more will the horns and tuba go separate ways, until in ff there is an almost complete lack of blend.	1.0
It was a marriage of convenience: the loans came thick and fast.	It was a marriage motivated by some reason other than love: the loans came thick and fast.	1.0
Tordo turns the screw …	Tordo increases the pressure of the situation …	1.0
At the County Ground, it was daylight robbery; a smash and grab raid by Charlton.	At the County Ground, it was an exorbitant price; a smash and grab raid by Charlton.	1.0
Yet given the strength of Dissent in the capital and the depth of religious tensions, there is no reason to doubt that the rank and file who followed the leaders of the mug riots were genuinely anti - Tory.	Yet given the strength of Dissent in the capital and the depth of religious tensions, there is no reason to doubt that the ordinary members who followed the leaders of the mug riots were genuinely anti - Tory.	1.0
You can add secretive for good measure though he hadn't much to be secretive about.’	You can add secretive in addition to what has already been done though he hadn't much to be secretive about.’	1.0
You can add secretive for good measure though he hadn't much to be secretive about.’	You can add secretive in addition to what has already been done though he hadn't much to be secretive about.’	1.0
Jenny was curiously reluctant to come face to face with this intruder whoever it was.	Jenny was curiously reluctant to come in person with this intruder whoever it was.	1.0
‘ Looking at your face, I gather that's out of the question?’	‘ Looking at your face, I gather that's not remotely possible	1.0
This has added insult to injury of a privatisation carried out against the wishes of the public.	This has further a loss with mockery of a privatisation carried out against the wishes of the public.	1.0
He hadn't touched the black box alarm so it was now or never.	He hadn't touched the black box alarm so it was at this sole opportunity, or not at all.	1.0
On the same day the B & I ferry Norrona caught fire en route from Pembroke in Wales to Rosslare in Ireland; two men suspected of arson were detained and later released on bail.	On the same day the B & I ferry Norrona became engulfed in flames en route from Pembroke in Wales to Rosslare in Ireland; two men suspected of arson were detained and later released on bail.	1.0
It goes without saying that it will be a day to remember, as our lucky winner will be treated like a star.	It is obvious that it will be a day to remember, as our lucky winner will be treated like a star.	1.0
A superb supporting ‘ cast’ included Hi Di Hi star Paul Shane, whose quick wit had the audience in stitches.	A superb supporting ‘ cast’ included Hi Di Hi star Paul Shane, whose quick wit had the audience very amused.	0.838769373120518
However, while the clean side of things is fine, the Laney's distorted sounds fail to come up to scratch.	However, while the clean side of things is fine, the Laney's distorted sounds fail to come satisfactory.	1.0
Coaches are popular in the US but this, by my theory, is the reason for their fall from grace as the world's greatest players.	Coaches are popular in the US but this, by my theory, is the reason for their lose social position as the world's greatest players.	1.0
As the branch cannot bear fruit by itself … neither can you, unless you abide in me … .’	As the branch cannot achieve benefit by itself … neither can you, unless you abide in me … .’	0.723203341421208
To add insult to injury, Palace, attacking with renewed vigour, were then awarded a doubtful penalty.	To further a loss with mockery, Palace, attacking with renewed vigour, were then awarded a doubtful penalty.	1.0
In the Pilkington final two years ago, they ran riot over the Cherry and Whites.	In the Pilkington final two years ago, they acted in a violent way over the Cherry and Whites.	1.0
‘ Tony is over the moon about Anna.	‘ Tony is delighted about Anna.	1.0
IBM and Hewlett - Packard appear to have other fish to fry.	IBM and Hewlett - Packard appear to have more important things to do.	1.0
‘ I feel a grudging respect for his brass neck,’ he said.	‘ I feel a grudging respect for his gall he said.	1.0
It was, or it has been, a belief that the N H S was for all of us from the cradle to the grave.	It was, or it has been, a belief that the N H S was for all of us spanning an entire lifetime.	1.0
Jones on cloud nine	Jones very happy	1.0
Jones on cloud nine	Jones in a state of elation	1.0
Jones on cloud nine	Jones blissful	1.0
Evenings full of wine rich in body, and food that just can't be ignored, inevitably drift into conversations that solve the world's problems, and tomorrow the sun will shine again and it's time to shake a leg and enjoy another day.	Evenings full of wine rich in body, and food that just can't be ignored, inevitably drift into conversations that solve the world's problems, and tomorrow the sun will shine again and it's time to get moving and enjoy another day.	1.0
Evenings full of wine rich in body, and food that just can't be ignored, inevitably drift into conversations that solve the world's problems, and tomorrow the sun will shine again and it's time to shake a leg and enjoy another day.	Evenings full of wine rich in body, and food that just can't be ignored, inevitably drift into conversations that solve the world's problems, and tomorrow the sun will shine again and it's time to get busy and enjoy another day.	1.0
On the face of it the latter view certainly seems the more rational, since the two states in question appear to contain elements that are inherently irreconcilable.	at first glance the latter view certainly seems the more rational, since the two states in question appear to contain elements that are inherently irreconcilable.	1.0
